TEN_COSO|DIA_CHI|TINH|HUYEN|XA
CSĐT MMT Huyện Từ Liêm|TTYT DP Từ Liêm, Khu Liên Cơ, đường Nguyễn Cơ Thạch, Mỹ Đình|Hà Nội|Bắc Từ Liêm|Liên Mạc
CSĐT MMT Quận Long Biên|TTYT Long Biên, Lô HH03, đường Vạn Hạnh, khu ĐT Việt Hưng|Hà Nội|Long Biên|Long Biên
CSĐT MMT Thị xã Sơn Tây|Phố Phù Sa|Hà Nội|Thị Xã Sơn Tây|Viên Sơn
CSĐT MMT Quận Hà Đông|Tổ 10, Phường Phú Lương|Hà Nội|Hà Đông|Phú Lương
CSĐT MMT Quận Hai Bà Trưng|Ngõ 92, Lương Yên|Hà Nội|Hai Bà Trưng|Bạch Đằng
CSĐT MMT Quận Đống Đa|Số 9, ngõ 107 Nguyễn Chí Thanh|Hà Nội|Đống Đa|Láng Hạ
CSĐT MMT Trung tâm chữa bệnh, giáo dục, lao động xã hội số 5|Phường Xuân Phương, Q Nam Từ Liêm|Hà Nội|Nam Từ Liêm|Xuân Phương
CSĐT MMT Ba Vì|TTYT Ba Vì, xã Đồng Thái, huyện Ba Vì|Hà Nội|Ba Vì|Đồng Thái
CSĐT MMT Đông Anh|PKĐK miền Tây, xã Kim Chung, huyện Đông Anh|Hà Nội|Đông Anh|Kim Chung
CSĐT MMT Chương Mỹ|PKĐK Xuân Mai, TT Xuân Mai, huyện Chương Mỹ|Hà Nội|Chương Mỹ|Thị trấn Xuân Mai
CSĐT MMT Ứng Hòa|TTYT Ứng Hòa, số 3, thôn Thanh Ấm, TT Vân Đình, huyện Ứng Hòa|Hà Nội|Ứng Hòa|Thị trấn Vân Đình
CSĐT MMT Hoàng Mai|PKĐK Linh Đàm, P Đại Kim, Q Hoàng Mai|Hà Nội|Hoàng Mai|Đại Kim
CSĐT MMT Tây Hồ|TYTD P Quảng An, ngõ 31, Xuân Diệu, Quảng An, Tây Hồ|Hà Nội|Tây Hồ|Quảng An
CSĐT MMT Đan Phượng|TYT xã Tân Lập, xã Tân Lập, huyện Đan Phượng|Hà Nội|Đan Phượng|Tân Lập
CSĐT MMT Phú Xuyên|TTYT Phú Xuyên, tiểu khu Thao Chính, huyện Phú Xuyên|Hà Nội|Phú Xuyên|Thị trấn Phú Xuyên
CSĐT MMT Bệnh viện 09|xã Tân Triều, huyện Thanh Trì|Hà Nội|Thanh Trì|Tân Triều
CSĐT MMT PK chuyên khoa và điều trị nghiện chất TTYTDP Hà Nội|khu HC mới quận Hà Đông, đường Tô Hiệu kéo dài, P Hà Cầu, Q Hà Đông|Hà Nội|Hà Đông|Hà Cầu
CSĐT MMT Trung tâm quản lý sau cai nghiện số 1|Thôn Xuân Khanh, xã Xuân Sơn, Thị xã Sơn Tây, TP. Hà Nội|Hà Nội|Thị Xã Sơn Tây|Xuân Sơn
